OPP CUST - Final Customer,Amount,Pipeline 2022 (k$),Pipeline 2023 (k$),Pipeline 2024 (k$),Pipeline 2025 (k$),Pipeline 2026 (k$),Weighted 2021 (k$),PROD - Product name(new) ,INFO - Sales Region,Services Value (k$) 2021,Services Value (k$) 2022,Services Value (k$) 2023,Services Value (k$) 2024,Services Value (k$) 2025,Services Value (k$) 2026,Deal owner,Pipeline 2026 (k$)2,Weighted 2021 (k$)3,Weighted 2023 (k$),INFO - Sales Region4,Pipeline 2021 (k$),Deal Stage,Weighted 2022 (k$),Amount5,Pipeline 2025 (k$)6,Deal Stage7,Deal ID
Okida,239.5,0,25,45,64.5,105,0,VIC292,EMEA,0,0,0,0,0,0,franck buonanno,105,0,2.5,EMEA,0,Identified,0,239.5,64.5,Identified,9553681988
Osaka Gas,210,0,0,10,100,100,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,0,210,100,Identified,5675968304
PACE AP,1147.1,101.4,321,192.6,173.3,156,202.8,MS6003,NORAM,0,0,0,0,0,0,Richard Venia,156,202.8,321,NORAM,202.8,Closed Won,101.4,1147.1,173.3,Closed Won,5573901386
PFMS,1053,213,215,300,325,0,0,INES,EMEA,0,213,215,300,325,0,franck buonanno,0,0,43,EMEA,0,Qualified,42.6,1053,325,Qualified,7461641143
PFMS,1386.8,213,234.3,406.5,533,0,0,(No value),EMEA,0,213,213,300,320,0,franck buonanno,0,0,117.15,EMEA,0,Design In,106.5,1386.8,533,Design In,7461671521
Parc Research,48,0,0,0,0,0,48,104104CV,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,48,0,APAC,48,Closed Won,0,48,0,Closed Won,5676017989
Parrot,90,18,18,30,0,0,24,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,0,24,18,EMEA,24,Closed Won,18,90,0,Closed Won,5783863584
Parrot,333.816,26.818,53.636,53.636,80.454,107.272,12,VIC405 1.2.5,EMEA,0,0,0,0,0,0,Marc Sanchez,107.272,12,53.636,EMEA,12,Closed Won,26.818,333.816,80.454,Closed Won,5783243399
Petrofac,85.2,31.95,53.25,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,0,10.65,EMEA,0,Qualified,6.39,85.2,0,Qualified,8098991621
Pinnacle Technology,143.55,62.64,0,0,62.64,0,18.27,VIC420,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,18.27,0,APAC,18.27,Closed Won,62.64,143.55,62.64,Closed Won,5775351945
Primero Games,96,0,0,0,0,0,96,104104CV,NORAM,48,0,0,0,0,0,Richard Venia,0,96,0,NORAM,96,Closed Won,0,96,0,Closed Won,5718702397
Primero Games,120,0,0,0,0,0,120,104104CV,NORAM,60,0,0,0,0,0,Richard Venia,0,120,0,NORAM,120,Closed Won,0,120,0,Closed Won,5718933783
Qingdao Eastsoft,250,0,0,50,100,100,0,INES,APAC,0,0,0,50,100,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,0,250,100,Identified,11357128727
ROBERT BOSCH SECURITY SOLUTIONS PTE,5,2.5,2.5,0,0,0,0,(No value),APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,0,2.5,APAC,0,Closed Won,2.5,5,0,Closed Won,7302485923
SIEMENS,80.928,0,40.464,40.464,0,0,0,(No value),EMEA,0,0,0,0,0,0,franck buonanno,0,0,40.464,EMEA,0,Closed Won,0,80.928,0,Closed Won,7044946177
SLS,140,0,12.5,27.5,50,50,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,50,0,2.5,EMEA,0,Qualified,0,140,50,Qualified,11345864035
SagemCom,4060,0,0,950,1350,1760,0,VIC408,EMEA,0,0,0,0,0,0,franck buonanno,1760,0,0,EMEA,0,Qualified,0,4060,1350,Qualified,9531528267
SenseFly,14.085,1.565,3.13,3.13,3.13,3.13,0,VIC405 1.2.5,EMEA,0,1,2,2,2,2,franck buonanno,3.13,0,3.13,EMEA,0,Closed Won,1.565,14.085,3.13,Closed Won,7044102064
Seychelles Gov.,600,200,200,0,0,0,200,(No value),EMEA,200,200,200,0,0,0,Carlos Moreno,0,200,200,EMEA,200,Closed Won,200,600,0,Closed Won,7908140062
Shiseido,376.5,0,1.5,75,150,150,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,150,0,0.15,APAC,0,Identified,0,376.5,150,Identified,10064940726
Siemens Energy Automation (Vienna/ Purchasing in Berlin),626.5,63.5,127,127,127,127,55,(No value),EMEA,0,0,0,0,0,0,franck buonanno,127,55,127,EMEA,55,Closed Won,63.5,626.5,127,Closed Won,5783890340
Silone,148.1,0,1.2,10.8,48.6,87.5,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,87.5,0,0.24,NORAM,0,Qualified,0,148.1,48.6,Qualified,7926867061
Simon Voss,3294,0,154,640,1250,1250,0,MS6001,EMEA,0,0,0,0,0,0,franck buonanno,1250,0,30.8,EMEA,0,Qualified,0,3294,1250,Qualified,11224848426
Skydio - Drones,190.65,0,0,10.8,48.6,131.25,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,131.25,0,0,NORAM,0,Identified,0,190.65,48.6,Identified,5574211729
Smart Displayer,8.04,8.04,0,0,0,0,0,(No value),APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,0,0,APAC,0,Closed Won,8.04,8.04,0,Closed Won,7323380227
Swiss Army,0,0,0,0,0,0,0,(No value),EMEA,0,0,0,0,0,0,Pierre Maudet,0,0,0,EMEA,0,Qualified,0,0,0,Qualified,9342415897
TELIC,324,0,7,12,55,250,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,250,0,3.5,EMEA,0,Design In,0,324,55,Design In,8826324548
TESCOM (former AVIO),66,66,0,0,0,0,0,(No value),APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,0,0,0,APAC,0,Closed Won,66,66,0,Closed Won,6587886445
TIL,185,0,0,48,62,75,0,VIC408,EMEA,0,0,0,0,0,0,franck buonanno,75,0,0,EMEA,0,Qualified,0,185,62,Qualified,12002526047
TIL Technologies,148.72,16.9,33.8,42.25,42.25,0,13.52,VIC420,EMEA,0,0,0,0,0,0,franck buonanno,0,13.52,33.8,EMEA,13.52,Closed Won,16.9,148.72,42.25,Closed Won,5783243395
TOKYO GAS,63,0,3,10,25,25,0,INES,APAC,0,0,3,10,25,25,KATSUNORI MIYAHATA,25,0,0.3,APAC,0,Identified,0,63,25,Identified,9174206486
TOYO Engineering Company,249,1,8,80,80,80,0,VIC155,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,80,0,0.8,APAC,0,Identified,0.1,249,80,Identified,8414737751
Taipower,1250,0,0,0,450,800,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,800,0,0,APAC,0,Identified,0,1250,450,Identified,12070924325
Takaoka,300,0,0,0,200,100,0,INES,APAC,0,0,0,0,200,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Identified,0,300,200,Identified,6592445471
Telic,0,0,0,0,0,0,0,VIC405 1.2.5,EMEA,0,0,0,0,0,0,franck buonanno,0,0,0,EMEA,0,Design In,0,0,0,Design In,9533523009
Thales Dis Technologies BV,9560,1800,2960,1920,1560,1320,0,SO128,EMEA,0,0,0,0,0,0,franck buonanno,1320,0,2960,EMEA,0,Closed Won,1800,9560,1560,Closed Won,7233647431
Thales Dis Technologies BV,2565,285,855,475,475,475,0,SO128,EMEA,0,0,0,0,0,0,franck buonanno,475,0,855,EMEA,0,Closed Won,285,2565,475,Closed Won,7233648182
The Factory HKA,88,70.4,0,0,0,0,17.6,VIC420,NORAM,0,0,0,0,0,0,Richard Venia,0,17.6,0,NORAM,17.6,Closed Won,70.4,88,0,Closed Won,5574365753
"Tier 2 companies, Hokkaido, Hokuriku, Chugoku, and Shikoku",320,0,0,0,100,220,0,INES,APAC,0,0,0,0,100,220,KATSUNORI MIYAHATA,220,0,0,APAC,0,Identified,0,320,100,Identified,10125561167
Tier 2 power companies,2640,0,0,0,2040,600,0,INES,APAC,0,0,0,0,2040,600,KATSUNORI MIYAHATA,600,0,0,APAC,0,Identified,0,2640,2040,Identified,10124973125
